open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
694.24,695.35,680.37,681.27,118276500.0,695.35,680.37,681.27,694.24,118828963.0,1.0,0.0,SPY,ARCX,2026-02-12 00:00:00+00:00
696.39,697.14,689.18,691.96,76236200.0,697.14,689.18,691.96,696.39,76353872.0,1.0,0.0,SPY,ARCX,2026-02-11 00:00:00+00:00
694.95,696.54,691.66,692.12,64943900.0,696.54,691.66,692.12,694.95,65185725.0,1.0,0.0,SPY,ARCX,2026-02-10 00:00:00+00:00
689.42,695.87,688.34,693.95,73570500.0,695.87,688.34,693.95,689.42,73885192.0,1.0,0.0,SPY,ARCX,2026-02-09 00:00:00+00:00
681.46,692.31,680.85,690.62,88754500.0,692.31,680.85,690.62,681.46,89127566.0,1.0,0.0,SPY,ARCX,2026-02-06 00:00:00+00:00
680.94,683.69,675.79,677.62,113140100.0,683.69,675.79,677.62,680.94,113610812.0,1.0,0.0,SPY,ARCX,2026-02-05 00:00:00+00:00
690.35,691.45,681.76,686.19,105040300.0,691.45,681.76,686.19,690.35,105204600.0,1.0,0.0,SPY,ARCX,2026-02-04 00:00:00+00:00
696.21,696.96,684.03,689.53,107782300.0,696.96,684.03,689.53,696.21,105889540.0,1.0,0.0,SPY,ARCX,2026-02-03 00:00:00+00:00
691.79,696.93,689.425,695.41,78557251.0,696.93,689.42,695.41,689.58,77975410.0,1.0,0.0,SPY,ARCX,2026-02-02 00:00:00+00:00
691.79,694.21,687.12,691.97,101750300.0,694.21,687.12,691.97,691.79,101835131.0,1.0,0.0,SPY,ARCX,2026-01-30 00:00:00+00:00
696.39,697.06,684.83,694.04,97338600.0,697.06,684.83,694.04,696.39,97486198.0,1.0,0.0,SPY,ARCX,2026-01-29 00:00:00+00:00
697.05,697.84,693.94,695.42,60827800.0,697.84,693.94,695.42,697.05,61172165.0,1.0,0.0,SPY,ARCX,2026-01-28 00:00:00+00:00
694.18,696.53,693.57,695.49,55401200.0,696.53,693.57,695.49,694.18,54124395.0,1.0,0.0,SPY,ARCX,2026-01-27 00:00:00+00:00
690.49,694.13,689.92,692.73,60400200.0,694.13,689.92,692.73,690.49,60473813.0,1.0,0.0,SPY,ARCX,2026-01-26 00:00:00+00:00
688.15,690.96,687.16,689.23,63016300.0,690.96,687.16,689.23,688.15,63059578.0,1.0,0.0,SPY,ARCX,2026-01-23 00:00:00+00:00
689.85,691.13,686.92,688.98,76888700.0,691.13,686.92,688.98,689.85,77112243.0,1.0,0.0,SPY,ARCX,2026-01-22 00:00:00+00:00
679.65,688.74,678.13,685.4,127756400.0,688.735,678.13,685.4,679.65,127844467.0,1.0,0.0,SPY,ARCX,2026-01-21 00:00:00+00:00
681.49,684.77,676.57,677.58,111394100.0,684.77,676.57,677.58,681.49,107178877.0,1.0,0.0,SPY,ARCX,2026-01-20 00:00:00+00:00
693.66,694.25,690.1,691.66,79246300.0,694.25,690.1,691.66,693.66,79289200.0,1.0,0.0,SPY,ARCX,2026-01-16 00:00:00+00:00
694.57,695.45,691.25,692.24,77777000.0,695.45,691.25,692.24,694.57,77861974.0,1.0,0.0,SPY,ARCX,2026-01-15 00:00:00+00:00
691.0,691.72,686.04,690.36,94544300.0,691.72,686.04,690.36,691.0,94676684.0,1.0,0.0,SPY,ARCX,2026-01-14 00:00:00+00:00
695.49,696.09,691.35,693.77,78238900.0,696.09,691.35,693.77,695.49,78309726.0,1.0,0.0,SPY,ARCX,2026-01-13 00:00:00+00:00
690.68,696.09,690.63,695.16,63863300.0,696.09,690.63,695.16,690.68,63976002.0,1.0,0.0,SPY,ARCX,2026-01-12 00:00:00+00:00
690.63,695.31,689.18,694.07,80049600.0,695.31,689.18,694.07,690.63,80125467.0,1.0,0.0,SPY,ARCX,2026-01-09 00:00:00+00:00
688.82,690.62,687.49,689.51,63895800.0,690.615,687.49,689.51,688.82,64019200.0,1.0,0.0,SPY,ARCX,2026-01-08 00:00:00+00:00
692.19,693.96,689.32,689.58,75531500.0,693.96,689.32,689.58,692.19,75588337.0,1.0,0.0,SPY,ARCX,2026-01-07 00:00:00+00:00
687.93,692.315,687.78,691.81,69273827.0,692.315,687.78,691.81,687.93,69273827.0,1.0,0.0,SPY,ARCX,2026-01-06 00:00:00+00:00
686.54,689.43,686.38,687.72,71803800.0,689.43,686.375,687.72,686.54,71927191.0,1.0,0.0,SPY,ARCX,2026-01-05 00:00:00+00:00
685.71,686.87,679.82,683.17,89310400.0,686.87,679.82,683.17,685.71,89377203.0,1.0,0.0,SPY,ARCX,2026-01-02 00:00:00+00:00
687.14,687.36,681.71,681.92,74144800.0,687.36,681.71,681.92,687.14,74144801.0,1.0,0.0,SPY,ARCX,2025-12-31 00:00:00+00:00
687.45,688.56,686.58,687.01,47078600.0,688.555,686.58,687.01,687.445,47160671.0,1.0,0.0,SPY,ARCX,2025-12-30 00:00:00+00:00
687.54,689.2,686.07,687.85,62509300.0,689.2,686.07,687.85,687.54,62559503.0,1.0,0.0,SPY,ARCX,2025-12-29 00:00:00+00:00
690.64,691.66,689.27,690.31,41588400.0,691.66,689.27,690.31,690.64,41613347.0,1.0,0.0,SPY,ARCX,2025-12-26 00:00:00+00:00
687.95,690.83,687.8,690.38,39445600.0,690.83,687.8,690.38,687.95,39445560.0,1.0,0.0,SPY,ARCX,2025-12-24 00:00:00+00:00
683.92,688.2,683.87,687.96,64769000.0,688.2,683.87,687.96,683.92,64839951.0,1.0,0.0,SPY,ARCX,2025-12-23 00:00:00+00:00
683.94,685.36,680.59,684.83,69475300.0,685.36,680.5868,684.83,683.94,69556733.0,1.0,0.0,SPY,ARCX,2025-12-22 00:00:00+00:00
676.59,681.09,676.47,680.59,103506100.0,681.09,676.47,680.59,676.59,103599543.0,1.0,1.99337,SPY,ARCX,2025-12-19 00:00:00+00:00
677.6,680.74,674.9,676.47,108364200.0,680.74,674.9,676.47,677.6,108650128.0,1.0,0.0,SPY,ARCX,2025-12-18 00:00:00+00:00
679.89,680.44,671.2,671.4,109356100.0,680.435,671.195,671.4,679.89,110625198.0,1.0,0.0,SPY,ARCX,2025-12-17 00:00:00+00:00
679.23,681.08,674.98,678.87,121890700.0,681.08,674.98,678.87,679.23,122030631.0,1.0,0.0,SPY,ARCX,2025-12-16 00:00:00+00:00
685.74,685.76,679.25,680.73,90667700.0,685.76,679.25,680.73,685.74,90810952.0,1.0,0.0,SPY,ARCX,2025-12-15 00:00:00+00:00
688.17,688.88,679.1744,681.76,105824458.0,688.88,679.1744,681.76,688.17,113160347.0,1.0,0.0,SPY,ARCX,2025-12-12 00:00:00+00:00
685.14,689.25,682.17,689.17,86072400.0,689.25,682.165,689.17,685.14,86173678.0,1.0,0.0,SPY,ARCX,2025-12-11 00:00:00+00:00
682.56,688.97,681.31,687.57,85393700.0,688.97,681.31,687.57,682.56,85671334.0,1.0,0.0,SPY,ARCX,2025-12-10 00:00:00+00:00
683.15,685.39,682.59,683.04,58193000.0,685.385,682.59,683.04,683.15,56313923.0,1.0,0.0,SPY,ARCX,2025-12-09 00:00:00+00:00
686.59,686.64,681.57,683.63,54664100.0,686.64,681.57,683.63,686.59,53033654.0,1.0,0.0,SPY,ARCX,2025-12-08 00:00:00+00:00
